description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,GDACS ID,Exposed Population 30km,Exposed Population 100km,Max Volc. Explosivity Index VEI,Population Exposure Index PEI,longitude,latitude
Green Eruption Iskut-Unuk River Cones in Canada at: 20 Sep 2011 18:00.,Green,1.0,Green,0.0,Canada,2011-09-20 18:00:00,2011-09-20 18:00:00,0.0,MONTREAL,-1,VO 360,-1.0,0.0,-1.0,-1.0,-130.55,56.583333
"Green Eruption Hudson, Cerro in Chile-S at: 28 Oct 2011 09:48.",Green,1.0,Green,0.0,Chile-S,2011-10-28 09:48:00,2011-10-28 09:48:00,0.0,BUENOS AIRES,-1,VO 484,-1.0,0.0,-1.0,-1.0,-72.966666,-45.9
Green Eruption Yasur in Vanuatu-SW Pacific at: 30 Dec 2011 18:00.,Green,1.0,Green,0.0,Vanuatu-SW Pacific,2011-12-30 18:00:00,2011-12-30 18:00:00,0.0,WELLINGTON,-1,VO 103,-1.0,0.0,-1.0,-1.0,169.441666,-19.533333
Green Eruption Pagan in Mariana Is-C Pacific at: 30 Jan 2012 07:31.,Green,1.0,Green,0.0,Mariana Is-C Pacific,2012-01-30 07:31:00,2012-01-30 07:31:00,0.0,WASHINGTON,-1,VO 253,-1.0,0.0,-1.0,-1.0,145.8,18.133333
Orange Eruption Dukono in Halmahera-Indonesia at: 28 Feb 2012 04:30.,Orange,2.0,Orange,2.0,Halmahera-Indonesia,2012-02-28 04:30:00,2012-02-28 04:30:00,0.0,DARWIN,-1,VO 178,-1.0,0.0,-1.0,-1.0,127.883333,1.683333
Green Eruption Soufrière Hills in W Indies at: 24 Mar 2012 19:45.,Green,1.0,Green,0.0,W Indies,2012-03-24 19:45:00,2012-03-24 19:45:00,0.0,WASHINGTON,-1,VO 491,-1.0,0.0,-1.0,-1.0,-62.183333,16.716666
Red Eruption Kerinci in Sumatra at: 25 Jul 2012 02:03.,Red,3.0,Red,3.0,Sumatra,2012-07-25 02:03:00,2012-07-25 02:03:00,0.0,DARWIN,-1,VO 117,-1.0,0.0,-1.0,-1.0,101.264444,-1.697222
Green Eruption Tolbachik in Kamchatka at: 29 Nov 2012 17:15.,Green,1.0,Green,1.0,Kamchatka,2012-11-29 17:15:00,2012-11-29 17:15:00,0.0,TOKYO,-1,VO 312,-1.0,0.0,-1.0,-1.0,160.33,55.83
Green Eruption San Cristóbal in Nicaragua at: 28 Dec 2012 21:15.,Green,1.0,Green,0.0,Nicaragua,2012-12-28 21:15:00,2012-12-28 21:15:00,0.0,WASHINGTON,-1,VO 408,-1.0,0.0,-1.0,-1.0,-87.003611,12.701666
Green Eruption Colima in México at: 29 Jan 2013 14:45.,Green,1.0,Green,0.0,México,2013-01-29 14:45:00,2013-01-29 14:45:00,0.0,WASHINGTON,-1,VO 389,-1.0,0.0,-1.0,-1.0,-103.616666,19.513888
Green Eruption Carrán-Los Venados in Chile-C at: 23 Jan 2013 11:40.,Green,1.0,Green,0.0,Chile-C,2013-01-23 11:40:00,2013-01-23 11:40:00,0.0,BUENOS AIRES,-1,VO 476,-1.0,0.0,-1.0,-1.0,-72.066666,-40.35
Green Eruption Fuego in Guatemala at: 30 Mar 2013 19:45.,Green,1.0,Green,1.0,Guatemala,2013-03-30 19:45:00,2013-03-30 19:45:00,0.0,WASHINGTON,-1,VO 399,-1.0,0.0,-1.0,-1.0,-90.880277,14.472777
Green Eruption Grozny Group in Kuril Is at: 29 Mar 2013 12:00.,Green,1.0,Green,0.0,Kuril Is,2013-03-29 12:00:00,2013-03-29 12:00:00,0.0,TOKYO,-1,VO 272,-1.0,0.0,-1.0,-1.0,147.921944,45.026111
Green Eruption Callaqui in Chile-C at: 28 Mar 2013 17:40.,Green,1.0,Green,0.0,Chile-C,2013-03-28 17:40:00,2013-03-28 17:40:00,0.0,BUENOS AIRES,-1,VO 469,-1.0,0.0,-1.0,-1.0,-71.45,-37.916666
Green Eruption Shiveluch in Kamchatka at: 28 Jun 2013 01:00.,Green,1.0,Green,1.0,Kamchatka,2013-06-28 01:00:00,2013-06-28 01:00:00,0.0,TOKYO,-1,VO 316,-1.0,0.0,-1.0,-1.0,161.36,56.653333
Green Eruption Pavlof in Alaska Peninsula at: 27 Jun 2013 20:10.,Green,1.0,Green,0.0,Alaska Peninsula,2013-06-27 20:10:00,2013-06-27 20:10:00,0.0,ANCHORAGE,-1,VO 343,-1.0,0.0,-1.0,-1.0,-161.8875,55.416666
Orange Eruption Manam in New Guinea-NE of at: 22 Jun 2013 17:30.,Orange,2.0,Orange,2.0,New Guinea-NE of,2013-06-22 17:30:00,2013-06-22 17:30:00,0.0,DARWIN,-1,VO 75,-1.0,0.0,-1.0,-1.0,145.037222,-4.08
Orange Eruption Agung in Indonesia at: 26 Nov 2017 18:00.,Orange,2.0,Orange,1.92794001918505,Indonesia,2017-11-26 18:00:00,2017-11-26 18:00:00,0.0,VAAC,IDN,VO 509,5540000.0,0.0,-1.0,-1.0,115.51,-8.34
Orange Eruption Kilauea in United States at: 28 May 2018 06:00.,Orange,2.0,ORANGE,1.5,United States,2018-05-04 22:00:00,2018-05-28 06:00:00,0.0,VAAC,USA,VO 511,180000.0,0.0,-1.0,-1.0,-155.286762,19.421097
Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1.0,Green,0.5,Indonesia,2019-06-11 00:00:00,2020-08-14 00:00:00,0.0,DARWIN,IDN,VO 261080,260000.0,8200000.0,2.0,5.0,98.392,3.17
Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1.0,Green,0.5,Peru,2019-06-17 00:00:00,2020-06-29 00:00:00,0.0,BUENOS AIRES,PER,VO 354006,15000.0,1090000.0,3.0,3.0,-71.857,-15.787
Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1.0,Green,0.5,Papua New Guinea,2019-06-18 00:00:00,2020-03-27 00:00:00,0.0,JRC,PNG,VO 251020,31000.0,200000.0,4.0,3.0,145.037,-4.08
"Green Eruption Fournaise, Piton de la in France at: 25 Oct 2019 00:00.",Green,1.0,Green,0.5,France,2019-06-11 00:00:00,2019-10-25 00:00:00,0.0,TOULOUSE,REU,VO 233020,300000.0,850000.0,5.0,5.0,55.708,-21.244
Green Eruption Ulawun in Papua New Guinea at: 01 Oct 2019 00:00.,Green,1.0,Green,0.5,Papua New Guinea,2019-06-27 00:00:00,2019-10-01 00:00:00,0.0,DARWIN,PNG,VO 252120,15000.0,87000.0,4.0,2.0,151.33,-5.05
Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1.0,Green,0.5,Italy,2019-07-19 00:00:00,2020-08-28 00:00:00,0.0,TOULOUSE,ITA,VO 211060,940000.0,2750000.0,5.0,5.0,14.999,37.748
Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1.0,Green,0.5,Italy,2019-07-03 00:00:00,2020-07-20 00:00:00,0.0,JRC,ITA,VO 211040,3000.0,1000000.0,3.0,3.0,15.213,38.789
Green Eruption Popocatepetl in Mexico at: 23 Feb 2020 00:00.,Green,1.0,Green,0.5,Mexico,2019-07-26 00:00:00,2020-02-23 00:00:00,0.0,WASHINGTON,MEX,VO 341090,640000.0,27990000.0,5.0,5.0,-98.622,19.023
Green Eruption Krakatau in Indonesia at: 13 Apr 2020 00:00.,Green,1.0,Green,0.5,Indonesia,2019-08-01 00:00:00,2020-04-13 00:00:00,0.0,DARWIN,IDN,VO 262000,7000.0,7380000.0,6.0,4.0,105.423,-6.102
Green Eruption Merapi in Indonesia at: 22 Jun 2020 00:00.,Green,1.0,Green,0.5,Indonesia,2019-10-14 00:00:00,2020-06-22 00:00:00,0.0,DARWIN,IDN,VO 263250,4440000.0,24400000.0,4.0,7.0,110.446,-7.54
Green Eruption Sangay in Ecuador at: 06 Oct 2020 00:00.,Green,1.0,Green,0.5,Ecuador,2019-11-21 00:00:00,2020-10-06 00:00:00,0.0,WASHINGTON,ECU,VO 352090,19000.0,1530000.0,3.0,3.0,-78.341,-2.005
Green Eruption Fuego in Guatemala at: 09 Jan 2020 00:00.,Green,1.0,Green,0.5,Guatemala,2019-11-29 00:00:00,2020-01-09 00:00:00,0.0,JRC,GTM,VO 342090,1230000.0,8730000.0,4.0,5.0,-90.88,14.473
Green Eruption Semeru in Indonesia at: 05 Mar 2020 00:00.,Green,1.0,Green,0.5,Indonesia,2020-01-18 00:00:00,2020-03-05 00:00:00,0.0,DARWIN,IDN,VO 263300,870000.0,19740000.0,3.0,5.0,112.922,-8.108
